address,total_eth_volume,tier
0x56df0bba3d324de9892f20f97e82f08fcd914f0e,29942.47,Whale
0x5e00b4ab19483556adecb04946bb9588163d1fb7,29899.4,Whale
0xf4eee06aea972a13b77f326a185bf29d893ae674,29633.21,Whale
0xd2674da94285660c9b2353131bef2d8211369a4b,29620.08,Whale
0x58c641ad788fdc393f5ad5b9ae8d1aff90f6659a,29337.0,Whale
0x3d3f20583c80582b5db10724b8513e7fbc28b718,29123.93,Whale
0x109ec853789064ef391e003c4468687f9942c671,29000.0,Whale
0xa448e8dd548c979974af572f751924363d257775,28979.31,Whale
0xd5f5c66ffc0b7459ea38a448b9ba5177edece856,28800.0,Whale
0x113870f9abd1821bbb2eee5d29acc360482431c9,28800.0,Whale
0xf43d19384088fe0343de361ee9a401604b719d72,28800.0,Whale
0x9311db5c5b8158b2bd3642f21a1e766a94cacec3,28800.0,Whale
0xf73d6605f44d6de872ad6b98715c050ff201b48f,28800.0,Whale
0x2bd5a5ec4cd3c44ad4c534ef8327f89581c3898c,28638.11,Whale
0x06c05fbac28826fa24b5fe806f239277d8b5a9fd,28608.03,Whale
0x16f6d15381bee4a25b25f0d1c4161b78f7f21fde,28477.47,Whale
0x5ca38fb7cf2b587026a1650f0d2b0a13c41f5d0f,28432.54,Whale
0xaa2c0f5e9a2c062be9490b56b71dfbd8617a8ec3,28297.03,Whale
0x86a067030a9668c13ff2a8c4d5415afc776d4c63,28188.99,Whale
0xf78b2eda7c1e20ff9906b31fe3612195bce9d6ce,27937.92,Whale
0x7efd5c27012c32c5a412628e8148e914310b42af,27854.27,Whale
0x5019e301988b7aaf9b3c6d13cc6db36be642902b,27854.27,Whale
0xf6d14f715b3b1cf4ecd966eea1ca6a9bb99277b5,27740.0,Whale
0x5a0036bcab4501e70f086c634e2958a8beae3a11,27075.0,Whale
0x38737055cc6226354a024f755e1beedca09098b5,27000.0,Whale
0xce9168a9b85138da84e90f5d6044d08858a25799,27000.0,Whale
0x8fa4ee1776032b612206e754ec2382b534d4ac6f,27000.0,Whale
0x363adf8182fd0fcd0f43d1c904809f85d6f24f7a,26886.84,Whale
0x7240136a8cc3e6d76c19cbe26ff6d112360583cf,26850.0,Whale
0xa090e606e30bd747d4e6245a1517ebe430f0057e,26432.1,Whale
0xee9535a8a408e13acc8b65cf4163257af240e39e,26259.0,Whale
0xefc30566a30bad6cb07702ceda8e8a3117757fdb,26066.72,Whale
0x021bc771055cc3a8a369b6bbb568e1d166ffbae4,25875.32,Whale
0xf5cefdf2b667d26b6c40f9c0d4c5fa5b67c522bd,25301.0,Whale
0x46db0650645f7c9a29783c89171a62240ccc35cf,25294.06,Whale
0x58a2e402a444f9f750a9db18ae9f1e767582f1e4,25200.0,Whale
0x4e6524e7a22961d55e0c5f523df8e740275b67af,25200.0,Whale
0x6223ba40e29848f1102ad53ecbce485b9c0c03d6,25200.0,Whale
0xb4d3bea9d824c4dd7ded7ccc93e6212e3f0b186a,25000.0,Whale
0x9b72d128924e8b70ceb1512823630b9cbb1fe16c,24960.0,Whale
0x8477e881571f791c2c8deeefa0b15bd071052ceb,24960.0,Whale
0xcfb7e94d71ab3c65479dacd9d8f2159184ca17ed,24943.98,Whale
0x691cb02bf62a0bb2397bfae9a55f7380d415fff2,24818.86,Whale
0xfa0ba3bb8a4b3c798f89d6bbd90a6fde3c09153f,24726.3,Whale
0x3284ac109eb04f070b40ea2bdc644d3a00de7bdb,24551.51,Whale
0x3700749a3377ec1e73be540be012e013de5b5aca,24437.7,Whale
0xb8734a14fbd4aa2d44e6aa830405ffc861ba313c,24437.7,Whale
0x66e092fd00c4e4eb5bd20f5392c1902d738ae7bc,24042.29,Whale
0xc94ebb328ac25b95db0e0aa968371885fa516215,23854.54,Whale
0xeba88149813bec1cccccfdb0dacefaaa5de94cb1,23662.3,Whale
0xa072dcf6bec138ddb4874f9e6bdb8b10cb3f831f,23587.99,Whale
0x2a45907f94df93388801ae72fe810eac75926a1d,23429.03,Whale
0x8dc124e90f3a638b1dc4846a803e42891761f83d,23400.0,Whale
0xa2356385be00de065bae513f18f2dde4a3bdff5c,23400.0,Whale
0x2e6c32d3ff8a61d931c19ffdcbaeb98b53ebdb66,23400.0,Whale
0x6cf4e335904ea9a13285def5a87b21dfe3ca70fc,23400.0,Whale
0xc7ee677968173895e572de5f90bbf16832f7bbb8,23400.0,Whale
0xebecb5ab18df7933e6525e77495794de4a280ffc,23400.0,Whale
0xe3542fd1f50cb1877ece4d40d482ba1c7190dbcf,23400.0,Whale
0x0b6194736370ae971027e8798178296a575afe55,23400.0,Whale
0xaea6291cb48d9675b120f74e2f0b0de01db47a00,23052.71,Whale
0x1481e58411608b2d628ef305b92b01cf4f83db70,22814.62,Whale
0x835033bd90b943fa0d0f8e5382d9dc568d3fbd96,22573.56,Whale
0xd6b38bea1b891c9064b1167fb68f8478f6829326,22408.02,Whale
0xba15e9b644685cb845af18a738abd40c6bcd78ed,22084.06,Whale
0xed89da9dd83a0d703991ee833969489278b260e7,22044.6,Whale
0xa2c0f1083ea1c5279a0111d8886989fb5299d483,22000.0,Whale
0x8ec6671cf4b8099b8008a512b03fd2ee4d5f2626,21902.86,Whale
0xb60c61dbb7456f024f9338c739b02be68e3f545c,21833.25,Whale
0xa26148ae51fa8e787df319c04137602cc018b521,21700.81,Whale
0xe02b10dfe0626307b44c184075e4ee831ea9b189,21696.14,Whale
0x0134e46b9cc3443387e6d3a4d1098f35a0dcdb7a,21630.38,Whale
0x0badff825398b6fe623f20f464a02aae9346c3dd,21600.0,Whale
0xd182c5ae486d83acb4d5e131141ff7976b0253fc,21600.0,Whale
0xae5dde433888a7456c3e0aecbb2e0a5748cbc1eb,21459.19,Whale
0x000e20a2eefa97815f3f5057fcd8920acf1ae0de,21407.63,Whale
